0,1149495.3347091675
5000,132264.43451285362
10000,148522.03000473976
15000,117910.3118379116
20000,98445.64241057634
25000,101747.64257740974
30000,108450.68739670515
35000,123389.2298182249
40000,113539.10971611738
45000,124842.5074096322
50000,191437.77758145332
55000,214084.9970446229
60000,235762.58262592554
65000,308804.70746326447
70000,271384.3072527051
75000,316106.8270948529
80000,283019.34244942665
85000,351671.71081119776
90000,422680.9383160472
95000,400416.9930152297
100000,470429.36743330956
105000,591542.4608633518
110000,732196.4301565886
115000,878864.7872452736
120000,984702.156543076
125000,748850.630720973
130000,753767.637144506
135000,669681.7323052883
140000,736113.4548023939
145000,718728.9218430519
150000,784545.745390594
155000,646706.0268296599
160000,653317.2931571603
165000,865872.2821048498
170000,773876.1453811526
175000,785171.8395186663
180000,804922.2256253958
185000,854799.0163757205
190000,791527.6976979971
195000,748556.1521744728
200000,732359.8841847181
205000,627913.0007757545
210000,575512.1789833903
