0,4969006.465316772
5000,80883.93734931946
10000,134801.88675266504
15000,115465.2326529026
20000,171574.2480506897
25000,208604.00093317032
30000,143443.9549894333
35000,162777.88826203346
40000,198446.1412472725
45000,303464.6724381447
50000,1788721.1928510666
55000,826038.9944663048
60000,1649831.8342542648
65000,1896642.5198116302
70000,1960653.1958069801
75000,2270121.5556230545
80000,1899535.8880734444
85000,2379054.459470749
90000,2570355.4365882874
95000,2939895.1647462845
100000,3245329.665411949
105000,4247181.992023468
110000,4202064.100296974
115000,4193397.4763641357
120000,3599915.36479187
125000,5231294.350803375
130000,6179360.213497162
135000,6276958.944616318
140000,6002149.573915482
145000,6019349.83086586
150000,5496475.921966553
155000,5046576.014389038
160000,6099719.3341465
165000,5377482.0129852295
170000,5118064.782567978
175000,5275998.326576233
180000,5248281.669473648
185000,4532130.204641342
190000,4261466.905473709
195000,4887232.90668869
200000,4093937.9949092865
205000,4369511.251789093
210000,3990817.738258362
215000,3883672.1739826202
220000,4266571.474895477
225000,4083238.089820862
230000,3777136.453813553
235000,5061009.015050888
240000,3942826.8699359894
245000,4782761.124994278
250000,4713061.223331451
255000,4256954.561462402
260000,4583198.964502335
265000,4562799.725019455
270000,5621337.864709854
275000,5242722.269636154
280000,4937423.091836929
285000,5218221.200086594
290000,4427970.510486603
